models,Sensitivity,Specificity,Pos.Pred.Value,Neg.Pred.Value,Precision,Recall,F1,Prevalence,Detection.Rate,Detection.Prevalence,Balanced.Accuracy,LogLoss
knn,0.2498036135113904,0.8158978583196046,0.2623762376237624,0.8057758796013829,0.2623762376237624,0.2498036135113904,0.2559356136820926,0.20770109316364824,0.05188448360254528,0.1977484092021537,0.5328507359154975,10.419793179032869
log_reg,0.7219167321288296,0.5166803953871499,0.2813839559093693,0.8763534753754803,0.28138395590936927,0.7219167321288296,0.4049350077109496,0.20770109316364824,0.1499428944362865,0.5328764888236254,0.6192985637579898,0.6518175407135051
RF,0.31893165750196384,0.9071252059308073,0.47374562427071176,0.8355462822458269,0.47374562427071176,0.31893165750196384,0.38122065727699533,0.20770109316364824,0.06624245390765214,0.13982705172132484,0.6130284317163855,0.4868062719478663
SVM,0.793401413982718,0.438838550247117,0.2704149933065596,0.8901420217209691,0.27041499330655955,0.793401413982718,0.4033546325878594,0.20770109316364824,0.16479034100179474,0.6093979441997063,0.6161199821149175,NA
XGB,0.48860958366064416,0.7637973640856672,0.35161107970604866,0.8506880733944955,0.3516110797060486,0.48860958366064416,0.4089414858645628,0.20770109316364824,0.10148474465655084,0.2886278348833415,0.6262034738731557,0.6222679392477134
knn_AP,0.25923016496465046,0.8171334431630972,0.27093596059113306,0.8079820810425575,0.270935960591133,0.25923016496465046,0.2649538338016861,0.20770109316364824,0.05384238864415076,0.19872736172295644,0.5381818040638738,10.318356929613229
log_reg_AP,0.7219167321288296,0.5166803953871499,0.2813839559093693,0.8763534753754803,0.28138395590936927,0.7219167321288296,0.4049350077109496,0.20770109316364824,0.1499428944362865,0.5328764888236254,0.6192985637579898,0.6518175407135051
RF_AP,0.24194815396700703,0.9446046128500823,0.533795493934142,0.8261887608069164,0.5337954939341422,0.24194815396700703,0.33297297297297296,0.20770109316364824,0.05025289606787404,0.09414260075053028,0.5932763834085447,0.47445086493539246
SVM_AP,0.7918303220738413,0.439662273476112,0.2703137570394208,0.8895833333333333,0.27031375703942073,0.7918303220738413,0.40303878448620545,0.20770109316364824,0.1644640234948605,0.6084189916789036,0.6157462977749767,NA
XGB_AP,0.5035349567949725,0.7761532125205931,0.3709490740740741,0.8563962735741877,0.37094907407407407,0.5035349567949725,0.4271909363545485,0.20770109316364824,0.10458476097242617,0.28193832599118945,0.6398440846577829,0.621129408608071
